Company,Year,Value
Aldi Sud,2024,1.3
Primark,2024,2.283333333
Gap inc.,2024,3.55
Levi Strauss & Co.,2024,3.75
H&M,2024,6.083333333
Nike Inc.,2024,4.1
Adidas AG,2024,4.85
C&A,2024,2.866666667
Valentino SpA,2024,1.866666667
Louis Vuitton Malletier SA (LVMH),2024,2.733333333
Esprit Holdings Limited,2024,1.85
Burberry Group plc,2024,2.35
Uniqlo Co.,2024,2.883333333
Marks and Spencer Group plc,2024,2.4
Patagonia Inc.,2024,2.333333333
The Walt Disney Company,2024,1.65
The Timberland Company,2024,3.6
"Amazon.com, Inc.",2024,2.516666667
Converse,2024,4.1
KiK Textilien und Non-Food GmbH,2024,1.766666667
Carrefour S.A.,2024,0.9333333333
Gucci,2024,7.416666667
Puma,2024,7.45
Zara,2024,4.066666667
The North Face Inc.,2024,3.6
Target,2024,2.683333333
Walmart,2024,1.733333333
Hugo Boss AG,2024,2.833333333
Sports Direct,2024,0.8666666667
Joe Fresh,2024,0.75
Costco Wholesale,2024,1.65
Aldi Nord,2024,0.6833333333
Hermes International,2024,4.933333333
Christian Dior,2024,2.733333333
Falabella,2024,1.633333333
Next PLC,2024,2.566666667
Belle International Holdings,2024,0
Dick's Sporting Goods,2024,1.166666667
"New Balance Athletic Shoe, Inc.",2024,3.483333333
Nordstrom,2024,1.35
Woolworths Holdings Limited,2024,2.166666667
Sainsbury's,2024,2.7
Kohl's,2024,1.683333333
Ross Stores,2024,0.8
Foot Locker Inc.,2024,1.45
Abercrombie & Fitch,2024,1.8
Hanesbrands,2024,5.8
Prada,2024,3.816666667
Macy's,2024,1.85
Fruit of the Loom,2024,4.166666667
Gildan Activewear Inc.,2024,4.433333333
Under Armour,2024,0.9833333333
Warehouse Group,2024,1.233333333
Asics Corporation,2024,4.966666667
Kathmandu Holdings Ltd,2024,2.533333333
"Dillard's, Inc.",2024,0.06666666667
Truworths,2024,1.166666667
Moncler,2024,2.7
Kaufland,2024,1.266666667
Giorgio Armani SpA,2024,1.6
Tommy Hilfiger Inc.,2024,3.316666667
"Fossil Group, Inc.",2024,1.966666667
Urban Outfitters,2024,0.2333333333
Columbia Sportswear,2024,1.1
American Eagle Outfitters,2024,3.75
Guess? Inc,2024,2.833333333
Quiksilver Inc,2024,0
Skechers USA Inc,2024,0.06666666667
Kate Spade & Company,2024,2.283333333
"Lands' End, Inc.",2024,0.1
Lindex,2024,1.933333333
"MANGO (Punto Fa, S.L.)",2024,3.383333333
Otto Group,2024,1.616666667
G-star RAW,2024,3.833333333
Li-Ning,2024,0.6666666667
SOK S Group,2024,2.033333333
DKNY,2024,0
Marc Jacobs,2024,2.733333333
lululemon athletica,2024,4.95
"Brooks Sports, Inc",2024,1.933333333
Asos,2024,2.15
REI,2024,1.25
Airwair International Ltd (Dr Martens),2024,2.266666667
New Look Retail Group,2024,2.05
